הופעל	הווה	ראשון	נקבה	יחיד	מו_ק_ט_לת_
הופעל	הווה	שני 	זכר 	יחיד	מו_ק_ט_ל_
הופעל	הווה	שני 	נקבה	יחיד	מו_ק_ט_לת_
הופעל	הווה	שלישי	זכר 	יחיד	מו_ק_ט_ל_
הופעל	הווה	שלישי	נקבה	יחיד	מו_ק_ט_לת_
הופעל	הווה	ראשון	זכר 	רבים	מו_ק_ט_לים_
הופעל	הווה	ראשון	נקבה	רבים	מו_ק_ט_לות_
הופעל	הווה	שני 	זכר 	רבים	מו_ק_ט_לים_
הופעל	הווה	שני 	נקבה	רבים	מו_ק_ט_לות_
הופעל	הווה	שלישי	זכר 	רבים	מו_ק_ט_לים_
הופעל	הווה	שלישי	נקבה	רבים	מו_ק_ט_לות_
הופעל	עתיד	ראשון	זכר 	יחיד	או_ק_ט_ל_
הופעל	עתיד	ראשון	נקבה	יחיד	או_ק_ט_ל_
הופעל	עתיד	שני 	זכר 	יחיד	תו_ק_ט_ל_
הופעל	עתיד	שני 	נקבה	יחיד	תו_ק_ט_לי_
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ק_ט_ל_
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ק_ט_ל_
הופעל	עתיד	ראשון	זכר 	רבים	נו_ק_ט_ל_
הופעל	עתיד	ראשון	נקבה	רבים	נו_ק_ט_ל_
הופעל	עתיד	שני 	זכר 	רבים	תו_ק_ט_לו_
הופעל	עתיד	שני 	נקבה	רבים	תו_ק_ט_לנה_
הופעל	עתיד	שלישי	זכר 	רבים	יו_ק_ט_לו_
הופעל	עתיד	שלישי	נקבה	רבים	תו_ק_ט_לנה_
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ק_ט_לתי_
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ק_ט_לתי_
התפעל	עבר 	שני 	זכר 	יחיד	הת_ק_ט_לת_
התפעל	עבר 	שני 	נקבה	יחיד	הת_ק_ט_לת_
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ק_ט_ל_
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ק_ט_לה_
התפעל	עבר 	ראשון	זכר 	רבים	הת_ק_ט_לנו_
התפעל	עבר 	ראשון	נקבה	רבים	הת_ק_ט_לנו_
התפעל	עבר 	שני 	זכר 	רבים	הת_ק_ט_לתם_
התפעל	עבר 	שני 	נקבה	רבים	הת_ק_ט_לתן_
התפעל	עבר 	שלישי	זכר 	רבים	הת_ק_ט_לו_
התפעל	עבר 	שלישי	נקבה	רבים	הת_ק_ט_לו_
התפעל	הווה	ראשון	זכר 	יחיד	מת_ק_ט_ל_
התפעל	הווה	ראשון	נקבה	יחיד	מת_ק_ט_לת_
התפעל	הווה	שני 	זכר 	יחיד	מת_ק_ט_ל_
התפעל	הווה	שני 	נקבה	יחיד	מת_ק_ט_לת_
התפעל	הווה	שלישי	זכר 	יחיד	מת_ק_ט_ל_
התפעל	הווה	שלישי	נקבה	יחיד	מת_ק_ט_לת_
התפעל	הווה	ראשון	זכר 	רבים	מת_ק_ט_לים_
התפעל	הווה	ראשון	נקבה	רבים	מת_ק_ט_לות_
התפעל	הווה	שני 	זכר 	רבים	מת_ק_ט_לים_
התפעל	הווה	שני 	נקבה	רבים	מת_ק_ט_לות_
התפעל	הווה	שלישי	זכר 	רבים	מת_ק_ט_לים_
התפעל	הווה	שלישי	נקבה	רבים	מת_ק_ט_לות_
התפעל	עתיד	ראשון	זכר 	יחיד	את_ק_ט_ל_
התפעל	עתיד	ראשון	נקבה	יחיד	את_ק_ט_ל_
התפעל	עתיד	שני 	זכר 	יחיד	תת_ק_ט_ל_
התפעל	עתיד	שני 	נקבה	יחיד	תת_ק_ט_לי_
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ק_ט_ל_
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ק_ט_ל_
התפעל	עתיד	ראשון	זכר 	רבים	נת_ק_ט_ל_
התפעל	עתיד	ראשון	נקבה	רבים	נת_ק_ט_ל_
התפעל	עתיד	שני 	זכר 	רבים	תת_ק_ט_לו_
התפעל	עתיד	שני 	נקבה	רבים	תת_ק_ט_לנה_
התפעל	עתיד	שלישי	זכר 	רבים	ית_ק_ט_לו_
התפעל	עתיד	שלישי	נקבה	רבים	תת_ק_ט_לנה_
התפעל	ציווי	שני 	זכר 	יחיד	הת_ק_ט_ל_
התפעל	ציווי	שני 	נקבה	יחיד	הת_ק_ט_לי_
התפעל	ציווי	שני 	זכר 	רבים	הת_ק_ט_לו_
התפעל	ציווי	שני 	נקבה	רבים	הת_ק_ט_לנה_
