הפעיל	עזר 	שלישי	זכר 	יחיד	ה_זי_נ
הפעיל	עזר 	שלישי	נקבה	יחיד	ה_זי_נ
הפעיל	עזר 	ראשון	זכר 	רבים	ה_ז_נו
הפעיל	עזר 	ראשון	נקבה	רבים	ה_ז_נו
הפעיל	עזר 	שני 	זכר 	רבים	ה_ז_נתם
הפעיל	עזר 	שני 	נקבה	רבים	ה_ז_נתן
הפעיל	עזר 	שלישי	זכר 	רבים	ה_זי_נו
הפעיל	עזר 	שלישי	נקבה	רבים	ה_זי_נו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_זי_נ
הפעיל	הווה	ראשון	נקבה	יחיד	מ_זי_נה
הפעיל	הווה	שני 	זכר 	יחיד	מ_זי_נ
הפעיל	הווה	שני 	נקבה	יחיד	מ_זי_נה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_זי_נ
הפעיל	הווה	שלישי	נקבה	יחיד	מ_זי_נה
הפעיל	הווה	ראשון	זכר 	רבים	מ_זי_נים
הפעיל	הווה	ראשון	נקבה	רבים	מ_זי_נות
הפעיל	הווה	שני 	זכר 	רבים	מ_זי_נים
הפעיל	הווה	שני 	נקבה	רבים	מ_זי_נות
הפעיל	הווה	שלישי	זכר 	רבים	מ_זי_נים
הפעיל	הווה	שלישי	נקבה	רבים	מ_זי_נות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_זי_נ
הפעיל	עתיד	ראשון	נקבה	יחיד	א_זי_נ
הפעיל	עתיד	שני 	זכר 	יחיד	ת_זי_ני
הפעיל	עתיד	שני 	נקבה	יחיד	ת_זי_ני
הפעיל	עתיד	שלישי	זכר 	יחיד	י_זי_נ
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_זי_נ
הפעיל	עתיד	ראשון	זכר 	רבים	נ_זי_נ
הפעיל	עתיד	ראשון	נקבה	רבים	נ_זי_נ
הפעיל	עתיד	שני 	זכר 	רבים	ת_זי_נו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ז_נה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ז_נו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ז_נה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ז_נ
הפעיל	ציווי	שני 	נקבה	יחיד	ה_זי_ני
הפעיל	ציווי	שני 	זכר 	רבים	ה_זי_נו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ז_נה
הופעל 	עזר 	ראשון	זכר 	יחיד	הו_ז_נתי
הופעל 	עזר 	ראשון	נקבה	יחיד	הו_ז_נתי
הופעל 	עזר 	שני 	זכר 	יחיד	הו_ז_נת
הופעל 	עזר 	שני 	נקבה	יחיד	הו_ז_נת
הופעל 	עזר 	שלישי	זכר 	יחיד	הו_ז_נ
הופעל 	עזר 	שלישי	נקבה	יחיד	הו_ז_נה
הופעל 	עזר 	ראשון	זכר 	רבים	הו_ז_נו
הופעל 	עזר 	ראשון	נקבה	רבים	הו_ז_נו
הופעל 	עזר 	שני 	זכר 	רבים	הו_ז_נתם
הופעל 	עזר 	שני 	נקבה	רבים	הו_ז_נתן
הופעל 	עזר 	שלישי	זכר 	רבים	הו_ז_נו
הופעל 	עזר 	שלישי	נקבה	רבים	הו_ז_נו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ז_נ
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ז_נת
הופעל 	הווה	שני 	זכר 	יחיד	מו_ז_נ
הופעל 	הווה	שני 	נקבה	יחיד	מו_ז_נת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ז_נ
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ז_נת
הופעל 	הווה	ראשון	זכר 	רבים	מו_ז_נים
הופעל 	הווה	ראשון	נקבה	רבים	מו_ז_נות
הופעל 	הווה	שני 	זכר 	רבים	מו_ז_נים
הופעל 	הווה	שני 	נקבה	רבים	מו_ז_נות
הופעל 	הווה	שלישי	זכר 	רבים	מו_ז_נים
הופעל 	הווה	שלישי	נקבה	רבים	מו_ז_נות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ז_נ
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ז_נ
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ז_נ
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ז_ני
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ז_נ
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ז_נ
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ז_נ
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ז_נ
הופעל 	עתיד	שני 	זכר 	רבים	תו_ז_נו
הופעל 	עתיד	שני 	נקבה	רבים	תו_ז_נה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ז_נו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ז_נה
התפעל 	עזר 	ראשון	זכר 	יחיד	ה_זד_ו_נתי
התפעל 	עזר 	ראשון	נקבה	יחיד	ה_זד_ו_נתי
התפעל 	עזר 	שני 	זכר 	יחיד	ה_זד_ו_נת
התפעל 	עזר 	שני 	נקבה	יחיד	ה_זד_ו_נת
התפעל 	עזר 	שלישי	זכר 	יחיד	ה_זד_ו_נ
התפעל 	עזר 	שלישי	נקבה	יחיד	ה_זד_ו_נה
התפעל 	עזר 	ראשון	זכר 	רבים	ה_זד_ו_נו
התפעל 	עזר 	ראשון	נקבה	רבים	ה_זד_ו_נו
התפעל 	עזר 	שני 	זכר 	רבים	ה_זד_ו_נתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זד_ו_נתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זד_ו_נו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זד_ו_נו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_נות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_נות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_נות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_נ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_נ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_נ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_ני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_נ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_נ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_נ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_נ
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_נו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_נה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_נו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_נה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_נ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_ני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זד_ו_נו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זד_ו_נה
התפעל 	עזר 	ראשון	זכר 	יחיד	ה_זד_ו_ו_נתי
התפעל 	עזר 	ראשון	נקבה	יחיד	ה_זד_ו_ו_נתי
התפעל 	עזר 	שני 	זכר 	יחיד	ה_זד_ו_ו_נת
התפעל 	עזר 	שני 	נקבה	יחיד	ה_זד_ו_ו_נת
התפעל 	עזר 	שלישי	זכר 	יחיד	ה_זד_ו_ו_נ
