התפעל	עבר 	שני 	נקבה	רבים	הת_ע_ג_נתן
התפעל	עבר 	שלישי	זכר 	רבים	הת_ע_ג_נו
התפעל	עבר 	שלישי	נקבה	רבים	הת_ע_ג_נו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	ראשון	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	שני 	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	שני 	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	שלישי	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	שלישי	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	ראשון	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	ראשון	נקבה	רבים	מת_ע_ג_נות
התפעל	הווה	שני 	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	שני 	נקבה	רבים	מת_ע_ג_נות
התפעל	הווה	שלישי	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	שלישי	נקבה	רבים	מת_ע_ג_נות
התפעל	עתיד	ראשון	זכר 	יחיד	את_ע_ג_נ
התפעל	עתיד	ראשון	נקבה	יחיד	את_ע_ג_נ
התפעל	עתיד	שני 	זכר 	יחיד	תת_ע_ג_נ
התפעל	עתיד	שני 	נקבה	יחיד	תת_ע_ג_ני
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ע_ג_נ
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ע_ג_נ
התפעל	עתיד	ראשון	זכר 	רבים	נת_ע_ג_נ
התפעל	עתיד	ראשון	נקבה	רבים	נת_ע_ג_נ
התפעל	עתיד	שני 	זכר 	רבים	תת_ע_ג_נו
התפעל	עתיד	שני 	נקבה	רבים	תת_ע_ג_נה
התפעל	עתיד	שלישי	זכר 	רבים	ית_ע_ג_נו
התפעל	עתיד	שלישי	נקבה	רבים	תת_ע_ג_נה
התפעל	ציווי	שני 	זכר 	יחיד	הת_ע_ג_נ
התפעל	ציווי	שני 	נקבה	יחיד	הת_ע_ג_ני
התפעל	ציווי	שני 	זכר 	רבים	הת_ע_ג_נו
התפעל	ציווי	שני 	נקבה	רבים	הת_ע_ג_נה
