הופעל	עבר 	שני 	נקבה	יחיד	הו_צ_ל_מת_
הופעל	עבר 	שלישי	זכר 	יחיד	הו_צ_ל_מ_
הופעל	עבר 	שלישי	נקבה	יחיד	הו_צ_ל_מה_
הופעל	עבר 	ראשון	זכר 	רבים	הו_צ_ל_מנו_
הופעל	עבר 	ראשון	נקבה	רבים	הו_צ_ל_מנו_
הופעל	עבר 	שני 	זכר 	רבים	הו_צ_ל_מתם_
הופעל	עבר 	שני 	נקבה	רבים	הו_צ_ל_מתן_
הופעל	עבר 	שלישי	זכר 	רבים	הו_צ_ל_מו_
הופעל	עבר 	שלישי	נקבה	רבים	הו_צ_ל_מו_
הופעל	הווה	ראשון	זכר 	יחיד	מו_צ_ל_מ_
הופעל	הווה	ראשון	נקבה	יחיד	מו_צ_ל_מת_
הופעל	הווה	שני 	זכר 	יחיד	מו_צ_ל_מ_
הופעל	הווה	שני 	נקבה	יחיד	מו_צ_ל_מת_
הופעל	הווה	שלישי	זכר 	יחיד	מו_צ_ל_מ_
הופעל	הווה	שלישי	נקבה	יחיד	מו_צ_ל_מת_
הופעל	הווה	ראשון	זכר 	רבים	מו_צ_ל_מים_
הופעל	הווה	ראשון	נקבה	רבים	מו_צ_ל_מות_
הופעל	הווה	שני 	זכר 	רבים	מו_צ_ל_מים_
הופעל	הווה	שני 	נקבה	רבים	מו_צ_ל_מות_
הופעל	הווה	שלישי	זכר 	רבים	מו_צ_ל_מים_
הופעל	הווה	שלישי	נקבה	רבים	מו_צ_ל_מות_
הופעל	עתיד	ראשון	זכר 	יחיד	או_צ_ל_מ_
הופעל	עתיד	ראשון	נקבה	יחיד	או_צ_ל_מ_
הופעל	עתיד	שני 	זכר 	יחיד	תו_צ_ל_מ_
הופעל	עתיד	שני 	נקבה	יחיד	תו_צ_ל_מי_
הופעל	עתיד	שלישי	זכר 	יחיד	יו_צ_ל_מ_
הופעל	עתיד	שלישי	נקבה	יחיד	תו_צ_ל_מ_
הופעל	עתיד	ראשון	זכר 	רבים	נו_צ_ל_מ_
הופעל	עתיד	ראשון	נקבה	רבים	נו_צ_ל_מ_
הופעל	עתיד	שני 	זכר 	רבים	תו_צ_ל_מו_
הופעל	עתיד	שני 	נקבה	רבים	תו_צ_ל_מנה_
הופעל	עתיד	שלישי	זכר 	רבים	יו_צ_ל_מו_
הופעל	עתיד	שלישי	נקבה	רבים	תו_צ_ל_מנה_
התפעל	עבר 	ראשון	זכר 	יחיד	ה_צט_ל_מתי_
התפעל	עבר 	ראשון	נקבה	יחיד	ה_צט_ל_מתי_
התפעל	עבר 	שני 	זכר 	יחיד	ה_צט_ל_מת_
התפעל	עבר 	שני 	נקבה	יחיד	ה_צט_ל_מת_
התפעל	עבר 	שלישי	זכר 	יחיד	ה_צט_ל_מ_
התפעל	עבר 	שלישי	נקבה	יחיד	ה_צט_ל_מה_
התפעל	עבר 	ראשון	זכר 	רבים	ה_צט_ל_מנו_
התפעל	עבר 	ראשון	נקבה	רבים	ה_צט_ל_מנו_
התפעל	עבר 	שני 	זכר 	רבים	ה_צט_ל_מתם_
התפעל	עבר 	שני 	נקבה	רבים	ה_צט_ל_מתן_
התפעל	עבר 	שלישי	זכר 	רבים	ה_צט_ל_מו_
התפעל	עבר 	שלישי	נקבה	רבים	ה_צט_ל_מו_
התפעל	הווה	ראשון	זכר 	יחיד	מ_צט_ל_מ_
התפעל	הווה	ראשון	נקבה	יחיד	מ_צט_ל_מת_
התפעל	הווה	שני 	זכר 	יחיד	מ_צט_ל_מ_
התפעל	הווה	שני 	נקבה	יחיד	מ_צט_ל_מת_
התפעל	הווה	שלישי	זכר 	יחיד	מ_צט_ל_מ_
התפעל	הווה	שלישי	נקבה	יחיד	מ_צט_ל_מת_
התפעל	הווה	ראשון	זכר 	רבים	מ_צט_ל_מים_
התפעל	הווה	ראשון	נקבה	רבים	מ_צט_ל_מות_
התפעל	הווה	שני 	זכר 	רבים	מ_צט_ל_מים_
התפעל	הווה	שני 	נקבה	רבים	מ_צט_ל_מות_
התפעל	הווה	שלישי	זכר 	רבים	מ_צט_ל_מים_
התפעל	הווה	שלישי	נקבה	רבים	מ_צט_ל_מות_
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_ל_מ_
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_ל_מ_
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_ל_מ_
התפעל	עתיד	שני 	נקבה	יחיד	ת_צט_ל_מי_
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_ל_מ_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_ל_מ_
התפעל	עתיד	ראשון	זכר 	רבים	נת_צ_ל_מ_
התפעל	עתיד	ראשון	נקבה	רבים	נת_צ_ל_מ_
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_ל_מו_
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_ל_מנה_
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_ל_מו_
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_ל_מנה_
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_ל_מ_
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_ל_מי_
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_ל_מו_
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_ל_מנה_
