הפעיל	עבר 	שלישי	זכר 	יחיד	ה_בי_ס_
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_בי_ס_
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ב_סנו_
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ב_סנו_
הפעיל	עבר 	שני 	זכר 	רבים	ה_ב_סתם_
הפעיל	עבר 	שני 	נקבה	רבים	ה_ב_סתן_
הפעיל	עבר 	שלישי	זכר 	רבים	ה_בי_סו_
הפעיל	עבר 	שלישי	נקבה	רבים	ה_בי_סו_
הפעיל	הווה	ראשון	זכר 	יחיד	מ_בי_ס_
הפעיל	הווה	ראשון	נקבה	יחיד	מ_בי_סה_
הפעיל	הווה	שני 	זכר 	יחיד	מ_בי_ס_
הפעיל	הווה	שני 	נקבה	יחיד	מ_בי_סה_
הפעיל	הווה	שלישי	זכר 	יחיד	מ_בי_ס_
הפעיל	הווה	שלישי	נקבה	יחיד	מ_בי_סה_
הפעיל	הווה	ראשון	זכר 	רבים	מ_בי_סים_
הפעיל	הווה	ראשון	נקבה	רבים	מ_בי_סות_
הפעיל	הווה	שני 	זכר 	רבים	מ_בי_סים_
הפעיל	הווה	שני 	נקבה	רבים	מ_בי_סות_
הפעיל	הווה	שלישי	זכר 	רבים	מ_בי_סים_
הפעיל	הווה	שלישי	נקבה	רבים	מ_בי_סות_
הפעיל	עתיד	ראשון	זכר 	יחיד	א_בי_ס_
הפעיל	עתיד	ראשון	נקבה	יחיד	א_בי_ס_
הפעיל	עתיד	שני 	זכר 	יחיד	ת_בי_סי_
הפעיל	עתיד	שני 	נקבה	יחיד	ת_בי_סי_
הפעיל	עתיד	שלישי	זכר 	יחיד	י_בי_ס_
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_בי_ס_
הפעיל	עתיד	ראשון	זכר 	רבים	נ_בי_ס_
הפעיל	עתיד	ראשון	נקבה	רבים	נ_בי_ס_
הפעיל	עתיד	שני 	זכר 	רבים	ת_בי_סו_
הפעיל	עתיד	שני 	נקבה	רבים	ת_ב_סנה_
הפעיל	עתיד	שלישי	זכר 	רבים	י_ב_סו_
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ב_סנה_
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ב_ס_
הפעיל	ציווי	שני 	נקבה	יחיד	ה_בי_סי_
הפעיל	ציווי	שני 	זכר 	רבים	ה_בי_סו_
הפעיל	ציווי	שני 	נקבה	רבים	ה_ב_סנה_
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_ב_סתי_
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_ב_סתי_
הופעל 	עבר 	שני 	זכר 	יחיד	הו_ב_סת_
הופעל 	עבר 	שני 	נקבה	יחיד	הו_ב_סת_
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_ב_ס_
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_ב_סה_
הופעל 	עבר 	ראשון	זכר 	רבים	הו_ב_סנו_
הופעל 	עבר 	ראשון	נקבה	רבים	הו_ב_סנו_
הופעל 	עבר 	שני 	זכר 	רבים	הו_ב_סתם_
הופעל 	עבר 	שני 	נקבה	רבים	הו_ב_סתן_
הופעל 	עבר 	שלישי	זכר 	רבים	הו_ב_סו_
הופעל 	עבר 	שלישי	נקבה	רבים	הו_ב_סו_
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ב_ס_
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ב_סת_
הופעל 	הווה	שני 	זכר 	יחיד	מו_ב_ס_
הופעל 	הווה	שני 	נקבה	יחיד	מו_ב_סת_
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ב_ס_
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ב_סת_
הופעל 	הווה	ראשון	זכר 	רבים	מו_ב_סים_
הופעל 	הווה	ראשון	נקבה	רבים	מו_ב_סות_
הופעל 	הווה	שני 	זכר 	רבים	מו_ב_סים_
הופעל 	הווה	שני 	נקבה	רבים	מו_ב_סות_
הופעל 	הווה	שלישי	זכר 	רבים	מו_ב_סים_
הופעל 	הווה	שלישי	נקבה	רבים	מו_ב_סות_
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ב_ס_
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ב_ס_
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ב_ס_
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ב_סי_
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ב_ס_
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ב_ס_
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ב_ס_
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ב_ס_
הופעל 	עתיד	שני 	זכר 	רבים	תו_ב_סו_
הופעל 	עתיד	שני 	נקבה	רבים	תו_ב_סנה_
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ב_סו_
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ב_סנה_
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_ב_ו_סתי_
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_ב_ו_סתי_
התפעל 	עבר 	שני 	זכר 	יחיד	הת_ב_ו_סת_
התפעל 	עבר 	שני 	נקבה	יחיד	הת_ב_ו_סת_
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_ב_ו_ס_
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_ב_ו_סה_
התפעל 	עבר 	ראשון	זכר 	רבים	הת_ב_ו_סנו_
התפעל 	עבר 	ראשון	נקבה	רבים	הת_ב_ו_סו_
התפעל 	עבר 	שני 	זכר 	רבים	הת_ב_ו_סתם_
התפעל 	עבר 	שני 	נקבה	רבים	הת_ב_ו_סתן_
התפעל 	עבר 	שלישי	זכר 	רבים	הת_ב_ו_סו_
התפעל 	עבר 	שלישי	נקבה	רבים	הת_ב_וו_סו_
התפעל 	הווה	ראשון	זכר 	יחיד	מת_ב_ו_ס_
התפעל 	הווה	ראשון	נקבה	יחיד	מת_ב_ו_סת_
התפעל 	הווה	שני 	זכר 	יחיד	מת_ב_ו_ס_
התפעל 	הווה	שני 	נקבה	יחיד	מת_ב_ו_סת_
התפעל 	הווה	שלישי	זכר 	יחיד	מת_ב_ו_ס_
התפעל 	הווה	שלישי	נקבה	יחיד	מת_ב_ו_סת_
התפעל 	הווה	ראשון	זכר 	רבים	מת_ב_ו_סים_
התפעל 	הווה	ראשון	נקבה	רבים	מת_ב_ו_סות_
התפעל 	הווה	שני 	זכר 	רבים	מת_ב_ו_סים_
התפעל 	הווה	שני 	נקבה	רבים	מת_ב_ו_סות_
התפעל 	הווה	שלישי	זכר 	רבים	מת_ב_ו_סים_
התפעל 	הווה	שלישי	נקבה	רבים	מת_ב_ו_סות_
התפעל 	עתיד	ראשון	זכר 	יחיד	את_ב_ו_ס_
התפעל 	עתיד	ראשון	נקבה	יחיד	את_ב_ו_ס_
התפעל 	עתיד	שני 	זכר 	יחיד	תת_ב_ו_ס_
התפעל 	עתיד	שני 	נקבה	יחיד	ת_ב_ו_סי_
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_ב_ו_ס_
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_ב_ו_ס_
התפעל 	עתיד	ראשון	זכר 	רבים	נת_ב_ו_ס_
התפעל 	עתיד	ראשון	נקבה	רבים	נת_ב_ו_ס_
התפעל 	עתיד	שני 	זכר 	רבים	ת_ב_ו_סו_
התפעל 	עתיד	שני 	נקבה	רבים	תת_ב_ו_סנה_
התפעל 	עתיד	שלישי	זכר 	רבים	ית_ב_ו_סו_
התפעל 	עתיד	שלישי	נקבה	רבים	תת_ב_ו_סנה_
התפעל 	ציווי	שני 	זכר 	יחיד	הת_ב_ו_ס_
התפעל 	ציווי	שני 	נקבה	יחיד	הת_ב_ו_סי_
התפעל 	ציווי	שני 	זכר 	רבים	הת_ב_ו_סו_
התפעל 	ציווי	שני 	נקבה	רבים	הת_ב_ו_סנה_
פיעל	עבר 	ראשון	זכר 	יחיד	_בו_ס_סתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_בו_ס_סתי_
פיעל	עבר 	שני 	זכר 	יחיד	_בו_ס_סת_
פיעל	עבר 	שני 	נקבה	יחיד	_בו_ס_סת_
פיעל	עבר 	שלישי	זכר 	יחיד	_בו_ס_ס_
פיעל	עבר 	שלישי	נקבה	יחיד	_בו_ס_ס_
פיעל	עבר 	ראשון	זכר 	רבים	_בו_ס_סנו_
פיעל	עבר 	ראשון	נקבה	רבים	_בו_ס_סנו_
פיעל	עבר 	שני 	זכר 	רבים	_בו_ס_סתם_
פיעל	עבר 	שני 	נקבה	רבים	_בו_ס_סתן_
פיעל	עבר 	שלישי	זכר 	רבים	_בו_ס_סו_
פיעל	עבר 	שלישי	נקבה	רבים	_בו_ס_סו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_בו_ס_ס_
פיעל	הווה	ראשון	נקבה	יחיד	מ_בו_ס_סת_
פיעל	הווה	שני 	זכר 	יחיד	מ_בו_ס_ס_
פיעל	הווה	שני 	נקבה	יחיד	מ_בו_ס_סת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_בו_ס_ס_
פיעל	הווה	שלישי	נקבה	יחיד	מ_בו_ס_סת_
פיעל	הווה	ראשון	זכר 	רבים	מ_בו_ס_סים_
פיעל	הווה	ראשון	נקבה	רבים	מ_בו_ס_סות_
פיעל	הווה	שני 	זכר 	רבים	מ_בו_ס_סים_
פיעל	הווה	שני 	נקבה	רבים	מ_בו_ס_סות_
פיעל	הווה	שלישי	זכר 	רבים	מ_בו_ס_סים_
פיעל	הווה	שלישי	נקבה	רבים	מ_בו_ס_סות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_בו_ס_ס_
פיעל	עתיד	ראשון	נקבה	יחיד	א_בו_ס_ס_
פיעל	עתיד	שני 	זכר 	יחיד	ת_בו_ס_ס_
פיעל	עתיד	שני 	נקבה	יחיד	ת_בו_ס_סי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_בו_ס_ס_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_בו_ס_ס_
פיעל	עתיד	ראשון	זכר 	רבים	נ_בו_ס_ס_
פיעל	עתיד	ראשון	נקבה	רבים	נ_בו_ס_ס_
פיעל	עתיד	שני 	זכר 	רבים	ת_בו_ס_סו_
פיעל	עתיד	שני 	נקבה	רבים	ת_בו_ס_סו_
פיעל	עתיד	שלישי	זכר 	רבים	י_בו_ס_סו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_בו_ס_סנה_
פיעל	ציווי	שני 	זכר 	יחיד	_בו_ס_ס_
פיעל	ציווי	שני 	נקבה	יחיד	_בו_ס_סי_
פיעל	ציווי	שני 	זכר 	רבים	_בו_ס_סו_
פיעל	ציווי	שני 	נקבה	רבים	_בו_ס_סנה_
פועל	עבר 	ראשון	זכר 	יחיד	_בו_ס_סתי_
פועל	עבר 	ראשון	נקבה	יחיד	_בו_ס_סתי_
פועל	עבר 	שני 	זכר 	יחיד	_בו_ס_סת_
פועל	עבר 	שני 	נקבה	יחיד	_בו_ס_סת_
פועל	עבר 	שלישי	זכר 	יחיד	_בו_ס_ס_
פועל	עבר 	שלישי	נקבה	יחיד	_בו_ס_ס_
פועל	עבר 	ראשון	זכר 	רבים	_בו_ס_סנו_
פועל	עבר 	ראשון	נקבה	רבים	_בו_ס_סנו_
פועל	עבר 	שני 	זכר 	רבים	_בו_ס_סתם_
פועל	עבר 	שני 	נקבה	רבים	_בו_ס_סתן_
פועל	עבר 	שלישי	זכר 	רבים	_בו_ס_סו_
פועל	עבר 	שלישי	נקבה	רבים	_בו_ס_סו_
פועל	הווה	ראשון	זכר 	יחיד	מ_בו_ס_ס_
פועל	הווה	ראשון	נקבה	יחיד	מ_בו_ס_סת_
פועל	הווה	שני 	זכר 	יחיד	מ_בו_ס_ס_
