פועל	עבר 	ראשון	נקבה	יחיד	_זו_ק_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_זו_ק_רת_
פועל	עבר 	שני 	נקבה	יחיד	_זו_ק_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_זו_ק_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_זו_ק_רה_
פועל	עבר 	ראשון	זכר 	רבים	_זו_ק_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_זו_ק_רנו_
פועל	עבר 	שני 	זכר 	רבים	_זו_ק_רתם_
פועל	עבר 	שני 	נקבה	רבים	_זו_ק_רתן_
פועל	עבר 	שלישי	זכר 	רבים	_זו_ק_רו_
פועל	עבר 	שלישי	נקבה	רבים	_זו_ק_רו_
פועל	הווה	ראשון	זכר 	יחיד	מ_זו_ק_ר_
פועל	הווה	ראשון	נקבה	יחיד	מ_זו_ק_רת_
פועל	הווה	שני 	זכר 	יחיד	מ_זו_ק_ר_
פועל	הווה	שני 	נקבה	יחיד	מ_זו_ק_רת_
פועל	הווה	שלישי	זכר 	יחיד	מ_זו_ק_ר_
פועל	הווה	שלישי	נקבה	יחיד	מ_זו_ק_רת_
פועל	הווה	ראשון	זכר 	רבים	מ_זו_ק_רים_
פועל	הווה	ראשון	נקבה	רבים	מ_זו_ק_רות_
פועל	הווה	שני 	זכר 	רבים	מ_זו_ק_רים_
פועל	הווה	שני 	נקבה	רבים	מ_זו_ק_רות_
פועל	הווה	שלישי	זכר 	רבים	מ_זו_ק_רים_
פועל	הווה	שלישי	נקבה	רבים	מ_זו_ק_רות_
פועל	עתיד	ראשון	זכר 	יחיד	א_זו_ק_ר_
פועל	עתיד	ראשון	נקבה	יחיד	א_זו_ק_ר_
פועל	עתיד	שני 	זכר 	יחיד	ת_זו_ק_ר_
פועל	עתיד	שני 	נקבה	יחיד	ת_זו_ק_רי_
פועל	עתיד	שלישי	זכר 	יחיד	י_זו_ק_ר_
פועל	עתיד	שלישי	נקבה	יחיד	ת_זו_ק_ר_
פועל	עתיד	ראשון	זכר 	רבים	נ_זו_ק_ר_
פועל	עתיד	ראשון	נקבה	רבים	נ_זו_ק_ר_
פועל	עתיד	שני 	זכר 	רבים	ת_זו_ק_רו_
פועל	עתיד	שני 	נקבה	רבים	ת_זו_ק_רנה_
פועל	עתיד	שלישי	זכר 	רבים	י_זו_ק_רו_
פועל	עתיד	שלישי	נקבה	רבים	ת_זו_ק_רנה_
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ז_ק_רתי_
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ז_ק_רתי_
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ז_ק_רת_
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ז_ק_רת_
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ז_קי_ר_
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ז_קי_ר_
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ז_ק_רנו_
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ז_ק_רנו_
הפעיל	עבר 	שני 	זכר 	רבים	ה_ז_ק_רתם_
הפעיל	עבר 	שני 	נקבה	רבים	ה_ז_ק_רתן_
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ז_קי_רו_
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ז_קי_רו_
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ז_קי_ר_
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ז_קי_רה_
הפעיל	הווה	שני 	זכר 	יחיד	מ_ז_קי_ר_
הפעיל	הווה	שני 	נקבה	יחיד	מ_ז_קי_רה_
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ז_קי_ר_
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ז_קי_רה_
הפעיל	הווה	ראשון	זכר 	רבים	מ_ז_קי_רים_
הפעיל	הווה	ראשון	נקבה	רבים	מ_ז_קי_רות_
הפעיל	הווה	שני 	זכר 	רבים	מ_ז_קי_רים_
הפעיל	הווה	שני 	נקבה	רבים	מ_ז_קי_רות_
הפעיל	הווה	שלישי	זכר 	רבים	מ_ז_קי_רים_
הפעיל	הווה	שלישי	נקבה	רבים	מ_ז_קי_רות_
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ז_קי_ר_
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ז_קי_ר_
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ז_קי_ר_
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ז_קי_רי_
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ז_קי_ר_
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ז_קי_ר_
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ז_קי_ר_
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ז_קי_ר_
הפעיל	עתיד	שני 	זכר 	רבים	ת_ז_קי_רו_
הפעיל	עתיד	שני 	נקבה	רבים	ת_ז_ק_רנה_
הפעיל	עתיד	שלישי	זכר 	רבים	י_ז_קי_רו_
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ז_ק_רנה_
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ז_ק_ר_
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ז_קי_רי_
הפעיל	ציווי	שני 	זכר 	רבים	ה_ז_קי_רו_
הפעיל	ציווי	שני 	נקבה	רבים	ה_ז_ק_רנה_
