פיעל	ציווי	שני 	נקבה	רבים	_י_צ_בנה
פועל	עבר 	ראשון	זכר 	יחיד	_יו_צ_בתי
פועל	עבר 	ראשון	נקבה	יחיד	_יו_צ_בתי
פועל	עבר 	שני 	זכר 	יחיד	_יו_צ_בת
פועל	עבר 	שני 	נקבה	יחיד	_יו_צ_בת
פועל	עבר 	שלישי	זכר 	יחיד	_יו_צ_ב
פועל	עבר 	שלישי	נקבה	יחיד	_יו_צ_בה
פועל	עבר 	ראשון	זכר 	רבים	_יו_צ_בנו
פועל	עבר 	ראשון	נקבה	רבים	_יו_צ_בנו
פועל	עבר 	שני 	זכר 	רבים	_יו_צ_בתם
פועל	עבר 	שני 	נקבה	רבים	_יו_צ_בתן
פועל	עבר 	שלישי	זכר 	רבים	_יו_צ_בו
פועל	עבר 	שלישי	נקבה	רבים	_יו_צ_בו
פועל	הווה	ראשון	זכר 	יחיד	מ_יו_צ_ב
פועל	הווה	ראשון	נקבה	יחיד	מ_יו_צ_בת
פועל	הווה	שני 	זכר 	יחיד	מ_יו_צ_ב
פועל	הווה	שני 	נקבה	יחיד	מ_יו_צ_בת
פועל	הווה	שלישי	זכר 	יחיד	מ_יו_צ_ב
פועל	הווה	שלישי	נקבה	יחיד	מ_יו_צ_בת
פועל	הווה	ראשון	זכר 	רבים	מ_יו_צ_בים
פועל	הווה	ראשון	נקבה	רבים	מ_יו_צ_בות
פועל	הווה	שני 	זכר 	רבים	מ_יו_צ_בים
פועל	הווה	שני 	נקבה	רבים	מ_יו_צ_בות
פועל	הווה	שלישי	זכר 	רבים	מ_יו_צ_בים
פועל	הווה	שלישי	נקבה	רבים	מ_יו_צ_בות
פועל	עתיד	ראשון	זכר 	יחיד	א_יו_צ_ב
פועל	עתיד	ראשון	נקבה	יחיד	א_יו_צ_ב
פועל	עתיד	שני 	זכר 	יחיד	ת_יו_צ_ב
פועל	עתיד	שני 	נקבה	יחיד	ת_יו_צ_בי
