זקר
פעל 	הווה	_	_ 	_	ל_ז_קו_ר
פועל	עבר 	ראשון	נקבה	רבים	_זו_ק_רנו
פועל	עבר 	שני 	זכר 	רבים	_זו_ק_רתמ
פועל	עבר 	שני 	נקבה	רבים	_זו_ק_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_זו_ק_רו
פועל	עבר 	שלישי	נקבה	רבים	_זו_ק_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_זו_ק_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_זו_ק_רת
פועל	הווה	שני 	זכר 	יחיד	מ_זו_ק_ר
פועל	הווה	שני 	נקבה	יחיד	מ_זו_ק_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_זו_ק_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_זו_ק_רת
פועל	הווה	ראשון	זכר 	רבים	מ_זו_ק_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_זו_ק_רות
פועל	הווה	שני 	זכר 	רבים	מ_זו_ק_רימ
פועל	הווה	שני 	נקבה	רבים	מ_זו_ק_רות
פועל	הווה	שלישי	זכר 	רבים	מ_זו_ק_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_זו_ק_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_זו_ק_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_זו_ק_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_זו_ק_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_זו_ק_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_זו_ק_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_זו_ק_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_זו_ק_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_זו_ק_ר
פועל	עתיד	שני 	זכר 	רבים	ת_זו_ק_רו
פועל	עתיד	שני 	נקבה	רבים	ת_זו_ק_רנה
פועל	עתיד	שלישי	זכר 	רבים	י_זו_ק_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_זו_ק_רנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ז_ק_רתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ז_ק_רתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ז_ק_רת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ז_ק_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ז_קי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ז_קי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ז_ק_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ז_ק_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ז_ק_רתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ז_ק_רתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ז_קי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ז_קי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ז_קי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ז_קי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ז_קי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_ז_קי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ז_קי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ז_קי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ז_קי_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ז_קי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_ז_קי_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ז_קי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ז_קי_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ז_קי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ז_קי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ז_קי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ז_קי_ר
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ז_קי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ז_קי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ז_קי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ז_קי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ז_קי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_ז_קי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ז_ק_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ז_קי_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ז_ק_רנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ז_ק_ר
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ז_קי_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ז_קי_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ז_ק_רנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ז_ק_רתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ז_ק_רתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ז_ק_רת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ז_ק_רת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ז_ק_ר
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ז_ק_רה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ז_ק_רנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ז_ק_רנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ז_ק_רתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ז_ק_רתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ז_ק_רו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ז_ק_רו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ז_ק_ר
הופעל	הווה	ראשון	נקבה	יחיד	מו_ז_ק_רת
הופעל	הווה	שני 	זכר 	יחיד	מו_ז_ק_ר
הופעל	הווה	שני 	נקבה	יחיד	מו_ז_ק_רת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ז_ק_ר
הופעל	הווה	שלישי	נקבה	יחיד	מו_ז_ק_רת
הופעל	הווה	ראשון	זכר 	רבים	מו_ז_ק_רימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ז_ק_רות
הופעל	הווה	שני 	זכר 	רבים	מו_ז_ק_רימ
הופעל	הווה	שני 	נקבה	רבים	מו_ז_ק_רות
הופעל	הווה	שלישי	זכר 	רבים	מו_ז_ק_רימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ז_ק_רות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ז_ק_ר
הופעל	עתיד	ראשון	נקבה	יחיד	או_ז_ק_ר
הופעל	עתיד	שני 	זכר 	יחיד	תו_ז_ק_ר
הופעל	עתיד	שני 	נקבה	יחיד	תו_ז_ק_רי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ז_ק_ר
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ז_ק_ר
הופעל	עתיד	ראשון	זכר 	רבים	נו_ז_ק_ר
הופעל	עתיד	ראשון	נקבה	רבים	נו_ז_ק_ר
הופעל	עתיד	שני 	זכר 	רבים	תו_ז_ק_רו
הופעל	עתיד	שני 	נקבה	רבים	תו_ז_ק_רנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ז_ק_רו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ז_ק_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_זד_ק_רתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_זד_ק_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_זד_ק_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_זד_ק_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_זד_ק_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_זד_ק_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_זד_ק_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_זד_ק_רנו
התפעל	עבר 	שני 	זכר 	רבים	ה_זד_ק_רתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_זד_ק_רתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_זד_ק_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_זד_ק_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_זד_ק_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_זד_ק_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_זד_ק_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_זד_ק_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_זד_ק_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_זד_ק_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_זד_ק_רימ
התפעל	הווה	ראשון	נקבה	רבים	מ_זד_ק_רות
התפעל	הווה	שני 	זכר 	רבים	מ_זד_ק_רימ
התפעל	הווה	שני 	נקבה	רבים	מ_זד_ק_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_זד_ק_רימ
התפעל	הווה	שלישי	נקבה	רבים	מ_זד_ק_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_זד_ק_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_זד_ק_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_זד_ק_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_זד_ק_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_זד_ק_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_זד_ק_ר
התפעל	עתיד	ראשון	זכר 	רבים	נת_ז_ק_ר
התפעל	עתיד	ראשון	נקבה	רבים	נת_ז_ק_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_זד_ק_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_זד_ק_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_זד_ק_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_זד_ק_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_זד_ק_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_זד_ק_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_זד_ק_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_זד_ק_רנה
