צוי
פיעל 	הווה	_	_ 	_	ל_צוות
התפעל 	עבר 	שלישי	זכר 	רבים	ה_צטוו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_צטוו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_צטוה
התפעל 	הווה	ראשון	נקבה	יחיד	מ_צטוה
התפעל 	הווה	שני 	זכר 	יחיד	מ_צטוה
התפעל 	הווה	שני 	נקבה	יחיד	מ_צטוה
התפעל 	הווה	שלישי	זכר 	יחיד	מ_צטוה
התפעל 	הווה	שלישי	נקבה	יחיד	מ_צטוה
התפעל 	הווה	ראשון	זכר 	רבים	מ_צטוימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_צטוות
התפעל 	הווה	שני 	זכר 	רבים	מ_צטוימ
התפעל 	הווה	שני 	נקבה	רבים	מ_צטוות
התפעל 	הווה	שלישי	זכר 	רבים	מ_צטוימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_צטוות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_צטוה
התפעל 	עתיד	ראשון	נקבה	יחיד	א_צטוה
התפעל 	עתיד	שני 	זכר 	יחיד	ת_צטוה
התפעל 	עתיד	שני 	נקבה	יחיד	ת_צטוי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_צטוה
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_צטוה
התפעל 	עתיד	ראשון	זכר 	רבים	נ_צטוה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_צטוה
התפעל 	עתיד	שני 	זכר 	רבים	ת_צטוו
התפעל 	עתיד	שני 	נקבה	רבים	ת_צטוינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_צטוו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_צטוינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_צטוה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_צטוי
התפעל 	ציווי	שני 	זכר 	רבים	ה_צטוו
התפעל 	ציווי	שני 	נקבה	רבים	ה_צטוינה
