יצב
פעל 	הווה	_	_ 	_	ליצו_ב
הפעיל	עתיד	שני 	נקבה	יחיד	תיצי_בי
הפעיל	עתיד	שלישי	זכר 	יחיד	ייצי_ב
הפעיל	עתיד	שלישי	נקבה	יחיד	תיצי_ב
הפעיל	עתיד	ראשון	זכר 	רבים	ניצי_ב
הפעיל	עתיד	ראשון	נקבה	רבים	ניצי_ב
הפעיל	עתיד	שני 	זכר 	רבים	תיצי_בו
הפעיל	עתיד	שני 	נקבה	רבים	תיצ_בנה
הפעיל	עתיד	שלישי	זכר 	רבים	ייצי_בו
הפעיל	עתיד	שלישי	נקבה	רבים	תיצ_בנה
הפעיל	ציווי	שני 	זכר 	יחיד	היצ_ב
הפעיל	ציווי	שני 	נקבה	יחיד	היצי_בי
הפעיל	ציווי	שני 	זכר 	רבים	היצי_בו
הפעיל	ציווי	שני 	נקבה	רבים	היצ_בנה
הופעל	עבר 	ראשון	זכר 	יחיד	הוצ_בתי
הופעל	עבר 	ראשון	נקבה	יחיד	הוצ_בתי
הופעל	עבר 	שני 	זכר 	יחיד	הוצ_בת
הופעל	עבר 	שני 	נקבה	יחיד	הוצ_בת
הופעל	עבר 	שלישי	זכר 	יחיד	הוצ_ב
הופעל	עבר 	שלישי	נקבה	יחיד	הוצ_בה
הופעל	עבר 	ראשון	זכר 	רבים	הוצ_בנו
הופעל	עבר 	ראשון	נקבה	רבים	הוצ_בנו
הופעל	עבר 	שני 	זכר 	רבים	הוצ_בתמ
הופעל	עבר 	שני 	נקבה	רבים	הוצ_בתנ
הופעל	עבר 	שלישי	זכר 	רבים	הוצ_בו
הופעל	עבר 	שלישי	נקבה	רבים	הוצ_בו
הופעל	הווה	ראשון	זכר 	יחיד	מוצ_ב
הופעל	הווה	ראשון	נקבה	יחיד	מוצ_בת
הופעל	הווה	שני 	זכר 	יחיד	מוצ_ב
הופעל	הווה	שני 	נקבה	יחיד	מוצ_בת
הופעל	הווה	שלישי	זכר 	יחיד	מוצ_ב
הופעל	הווה	שלישי	נקבה	יחיד	מוצ_בת
הופעל	הווה	ראשון	זכר 	רבים	מוצ_בימ
הופעל	הווה	ראשון	נקבה	רבים	מוצ_בות
הופעל	הווה	שני 	זכר 	רבים	מוצ_בימ
הופעל	הווה	שני 	נקבה	רבים	מוצ_בות
הופעל	הווה	שלישי	זכר 	רבים	מוצ_בימ
הופעל	הווה	שלישי	נקבה	רבים	מוצ_בות
הופעל	עתיד	ראשון	זכר 	יחיד	אוצ_ב
הופעל	עתיד	ראשון	נקבה	יחיד	אוצ_ב
הופעל	עתיד	שני 	זכר 	יחיד	תוצ_ב
הופעל	עתיד	שני 	נקבה	יחיד	תוצ_בי
הופעל	עתיד	שלישי	זכר 	יחיד	יוצ_ב
הופעל	עתיד	שלישי	נקבה	יחיד	תוצ_ב
הופעל	עתיד	ראשון	זכר 	רבים	נוצ_ב
הופעל	עתיד	ראשון	נקבה	רבים	נוצ_ב
הופעל	עתיד	שני 	זכר 	רבים	תוצ_בו
הופעל	עתיד	שני 	נקבה	רבים	תוצ_בנה
הופעל	עתיד	שלישי	זכר 	רבים	יוצ_בו
הופעל	עתיד	שלישי	נקבה	רבים	תוצ_בנה
התפעל	עבר 	ראשון	זכר 	יחיד	התיצ_בתי
התפעל	עבר 	ראשון	נקבה	יחיד	התיצ_בתי
התפעל	עבר 	שני 	זכר 	יחיד	התיצ_בת
התפעל	עבר 	שני 	נקבה	יחיד	התיצ_בת
התפעל	עבר 	שלישי	זכר 	יחיד	התיצ_ב
