זוג
פועל	עתיד	שלישי	נקבה	רבים	ת_זוי_גנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ז_גתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ז_גתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ז_גתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ז_גת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_זי_ג
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_זי_ג
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ז_גנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ז_גנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ז_גתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_ז_גתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_זי_גו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_זי_גו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_זי_ג
הפעיל	הווה	ראשון	נקבה	יחיד	מ_זי_גה
הפעיל	הווה	שני 	זכר 	יחיד	מ_זי_ג
הפעיל	הווה	שני 	נקבה	יחיד	מ_זי_גה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_זי_ג
הפעיל	הווה	שלישי	נקבה	יחיד	מ_זי_גה
הפעיל	הווה	ראשון	זכר 	רבים	מ_זי_גים
הפעיל	הווה	ראשון	נקבה	רבים	מ_זי_גות
הפעיל	הווה	שני 	זכר 	רבים	מ_זי_גים
הפעיל	הווה	שני 	נקבה	רבים	מ_זי_גות
הפעיל	הווה	שלישי	זכר 	רבים	מ_זי_גים
הפעיל	הווה	שלישי	נקבה	רבים	מ_זי_גות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_זי_ג
הפעיל	עתיד	ראשון	נקבה	יחיד	א_זי_ג
הפעיל	עתיד	שני 	זכר 	יחיד	ת_זי_גי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_זי_גי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_זי_ג
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_זי_ג
הפעיל	עתיד	ראשון	זכר 	רבים	נ_זי_ג
הפעיל	עתיד	ראשון	נקבה	רבים	נ_זי_ג
הפעיל	עתיד	שני 	זכר 	רבים	ת_זי_גו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ז_גנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ז_גו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ז_גנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ז_ג
הפעיל	ציווי	שני 	נקבה	יחיד	ה_זי_גי
הפעיל	ציווי	שני 	זכר 	רבים	ה_זי_גו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ז_גנה
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_ז_גתי
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_ז_גתי
הופעל 	עבר 	שני 	זכר 	יחיד	הו_ז_גת
הופעל 	עבר 	שני 	נקבה	יחיד	הו_ז_גת
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_ז_ג
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_ז_גה
הופעל 	עבר 	ראשון	זכר 	רבים	הו_ז_גנו
הופעל 	עבר 	ראשון	נקבה	רבים	הו_ז_גנו
הופעל 	עבר 	שני 	זכר 	רבים	הו_ז_גתם
הופעל 	עבר 	שני 	נקבה	רבים	הו_ז_גתן
הופעל 	עבר 	שלישי	זכר 	רבים	הו_ז_גו
הופעל 	עבר 	שלישי	נקבה	רבים	הו_ז_גו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ז_ג
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ז_גת
הופעל 	הווה	שני 	זכר 	יחיד	מו_ז_ג
הופעל 	הווה	שני 	נקבה	יחיד	מו_ז_גת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ז_ג
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ז_גת
הופעל 	הווה	ראשון	זכר 	רבים	מו_ז_גים
הופעל 	הווה	ראשון	נקבה	רבים	מו_ז_גות
הופעל 	הווה	שני 	זכר 	רבים	מו_ז_גים
הופעל 	הווה	שני 	נקבה	רבים	מו_ז_גות
הופעל 	הווה	שלישי	זכר 	רבים	מו_ז_גים
הופעל 	הווה	שלישי	נקבה	רבים	מו_ז_גות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ז_ג
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ז_ג
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ז_ג
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ז_גי
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ז_ג
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ז_ג
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ז_ג
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ז_ג
הופעל 	עתיד	שני 	זכר 	רבים	תו_ז_גו
הופעל 	עתיד	שני 	נקבה	רבים	תו_ז_גנה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ז_גו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ז_גנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_זד_ו_גתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_זד_ו_גתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_זד_ו_גת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_זד_ו_גת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_זד_ו_ג
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_זד_ו_גה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_זד_ו_גנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_זד_ו_גו
התפעל 	עבר 	שני 	זכר 	רבים	ה_זד_ו_גתם
התפעל 	עבר 	שני 	נקבה	רבים	ה_זד_ו_גתן
התפעל 	עבר 	שלישי	זכר 	רבים	ה_זד_ו_גו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_זד_ו_גו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_ג
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_גת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_ג
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_גת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_ג
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_גת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_גים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_גות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_גים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_גות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_גים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_גות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_ג
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_ג
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_ג
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_גי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_ג
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_ג
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_ג
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_ג
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_גו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_גנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_גו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_גנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_ג
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_גי
