תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
הפעיל	עתיד	ראשון	נקבה	רבים	נ_תי_ש
הפעיל	עתיד	שני 	זכר 	רבים	ת_תי_שו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ת_שנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ת_שו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ת_שנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ת_ש
הפעיל	ציווי	שני 	נקבה	יחיד	ה_תי_שי
הפעיל	ציווי	שני 	זכר 	רבים	ה_תי_שו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ת_שנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ת_שתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ת_שתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ת_שת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ת_שת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ת_ש
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ת_שה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ת_שנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ת_שנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ת_שתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ת_שתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ת_שו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ת_שו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ת_ש
הופעל	הווה	ראשון	נקבה	יחיד	מו_ת_שת
הופעל	הווה	שני 	זכר 	יחיד	מו_ת_ש
הופעל	הווה	שני 	נקבה	יחיד	מו_ת_שת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ת_ש
הופעל	הווה	שלישי	נקבה	יחיד	מו_ת_שת
הופעל	הווה	ראשון	זכר 	רבים	מו_ת_שימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ת_שות
הופעל	הווה	שני 	זכר 	רבים	מו_ת_שימ
הופעל	הווה	שני 	נקבה	רבים	מו_ת_שות
הופעל	הווה	שלישי	זכר 	רבים	מו_ת_שימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ת_שות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ת_ש
הופעל	עתיד	ראשון	נקבה	יחיד	או_ת_ש
הופעל	עתיד	שני 	זכר 	יחיד	תו_ת_ש
הופעל	עתיד	שני 	נקבה	יחיד	תו_ת_שי
