ירי
פעל 	הווה	_	_ 	_	לי_רות
הפעיל	עתיד	שני 	זכר 	רבים	תו_רו
הפעיל	עתיד	שני 	נקבה	רבים	תו_רינה
הפעיל	עתיד	שלישי	זכר 	רבים	יו_רו
הפעיל	עתיד	שלישי	נקבה	רבים	תו_רינה
הפעיל	ציווי	שני 	זכר 	יחיד	הו_רה
הפעיל	ציווי	שני 	נקבה	יחיד	הו_רי
הפעיל	ציווי	שני 	זכר 	רבים	הו_רו
הפעיל	ציווי	שני 	נקבה	רבים	הו_רינה
התפעל 	עבר 	ראשון	זכר 	יחיד	התי_ריתי
התפעל 	עבר 	ראשון	נקבה	יחיד	התי_ריתי
התפעל 	עבר 	שני 	זכר 	יחיד	התי_רית
התפעל 	עבר 	שני 	נקבה	יחיד	התי_רית
התפעל 	עבר 	שלישי	זכר 	יחיד	התי_רה
התפעל 	עבר 	שלישי	נקבה	יחיד	התי_רתה
התפעל 	עבר 	ראשון	זכר 	רבים	התי_רינו
התפעל 	עבר 	ראשון	נקבה	רבים	התי_רינו
התפעל 	עבר 	שני 	זכר 	רבים	התי_ריתמ
התפעל 	עבר 	שני 	נקבה	רבים	התי_ריתנ
התפעל 	עבר 	שלישי	זכר 	רבים	התי_רו
התפעל 	עבר 	שלישי	נקבה	רבים	התי_רו
התפעל 	הווה	ראשון	זכר 	יחיד	מתי_רה
התפעל 	הווה	ראשון	נקבה	יחיד	מתי_רה
התפעל 	הווה	שני 	זכר 	יחיד	מתי_רה
התפעל 	הווה	שני 	נקבה	יחיד	מתי_רה
התפעל 	הווה	שלישי	זכר 	יחיד	מתי_רה
התפעל 	הווה	שלישי	נקבה	יחיד	מתי_רה
התפעל 	הווה	ראשון	זכר 	רבים	מתי_רימ
התפעל 	הווה	ראשון	נקבה	רבים	מתי_רות
התפעל 	הווה	שני 	זכר 	רבים	מתי_רימ
התפעל 	הווה	שני 	נקבה	רבים	מתי_רות
התפעל 	הווה	שלישי	זכר 	רבים	מתי_רימ
התפעל 	הווה	שלישי	נקבה	רבים	מתי_רות
התפעל 	עתיד	ראשון	זכר 	יחיד	אתי_רה
התפעל 	עתיד	ראשון	נקבה	יחיד	אתי_רה
התפעל 	עתיד	שני 	זכר 	יחיד	תתי_רה
התפעל 	עתיד	שני 	נקבה	יחיד	תתי_רי
התפעל 	עתיד	שלישי	זכר 	יחיד	יתי_רה
התפעל 	עתיד	שלישי	נקבה	יחיד	תתי_רה
התפעל 	עתיד	ראשון	זכר 	רבים	נתי_רה
התפעל 	עתיד	ראשון	נקבה	רבים	נתי_רה
התפעל 	עתיד	שני 	זכר 	רבים	תתי_רו
התפעל 	עתיד	שני 	נקבה	רבים	תתי_רינה
התפעל 	עתיד	שלישי	זכר 	רבים	יתי_רו
התפעל 	עתיד	שלישי	נקבה	רבים	תתי_רינה
התפעל 	ציווי	שני 	זכר 	יחיד	התי_רה
התפעל 	ציווי	שני 	נקבה	יחיד	התי_רי
התפעל 	ציווי	שני 	זכר 	רבים	התי_רו
התפעל 	ציווי	שני 	נקבה	רבים	התי_רינה
