דגר
פעל 	הווה	_	_ 	_	ל_ד_גו_ר
פועל	עבר 	שני 	נקבה	יחיד	_דו_ג_רת
פועל	עבר 	שלישי	זכר 	יחיד	_דו_ג_ר
פועל	עבר 	שלישי	נקבה	יחיד	_דו_ג_רה
פועל	עבר 	ראשון	זכר 	רבים	_דו_ג_רנו
פועל	עבר 	ראשון	נקבה	רבים	_דו_ג_רנו
פועל	עבר 	שני 	זכר 	רבים	_דו_ג_רתמ
פועל	עבר 	שני 	נקבה	רבים	_דו_ג_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_דו_ג_רו
פועל	עבר 	שלישי	נקבה	רבים	_דו_ג_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_דו_ג_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_דו_ג_רת
פועל	הווה	שני 	זכר 	יחיד	מ_דו_ג_ר
פועל	הווה	שני 	נקבה	יחיד	מ_דו_ג_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_דו_ג_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_דו_ג_רת
פועל	הווה	ראשון	זכר 	רבים	מ_דו_ג_רימ
פועל	הווה	ראשון	נקבה	רבים	מ_דו_ג_רות
פועל	הווה	שני 	זכר 	רבים	מ_דו_ג_רימ
פועל	הווה	שני 	נקבה	רבים	מ_דו_ג_רות
פועל	הווה	שלישי	זכר 	רבים	מ_דו_ג_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_דו_ג_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_דו_ג_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_דו_ג_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_דו_ג_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_דו_ג_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_דו_ג_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_דו_ג_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_דו_ג_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_דו_ג_ר
פועל	עתיד	שני 	זכר 	רבים	ת_דו_ג_רו
פועל	עתיד	שני 	נקבה	רבים	ת_דו_ג_רנה
פועל	עתיד	שלישי	זכר 	רבים	י_דו_ג_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_דו_ג_רנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ד_ג_רתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ד_ג_רתי
