זרי
פועל	הווה	שני 	נקבה	רבים	מ_זו_רות
פועל	הווה	שלישי	זכר 	רבים	מ_זו_רימ
פועל	הווה	שלישי	נקבה	רבים	מ_זו_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_זו_רה
פועל	עתיד	ראשון	נקבה	יחיד	א_זו_רה
פועל	עתיד	שני 	זכר 	יחיד	ת_זו_רה
פועל	עתיד	שני 	נקבה	יחיד	ת_זו_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_זו_רה
פועל	עתיד	שלישי	נקבה	יחיד	ת_זו_רה
פועל	עתיד	ראשון	זכר 	רבים	נ_זו_רה
פועל	עתיד	ראשון	נקבה	רבים	נ_זו_רה
פועל	עתיד	שני 	זכר 	רבים	ת_זו_רו
פועל	עתיד	שני 	נקבה	רבים	ת_זו_רינה
פועל	עתיד	שלישי	זכר 	רבים	י_זו_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_זו_רינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ז_ריתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ז_ריתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ז_רית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ז_רית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ז_רה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ז_רתה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ז_רינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ז_רינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ז_ריתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ז_ריתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ז_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ז_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ז_רה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ז_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ז_רה
הפעיל	הווה	שני 	נקבה	יחיד	מ_ז_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ז_רה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ז_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ז_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ז_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_ז_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ז_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ז_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ז_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ז_רה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ז_רה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ז_רה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ז_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ז_רה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ז_רה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ז_רה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ז_רה
הפעיל	עתיד	שני 	זכר 	רבים	ת_ז_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ז_רינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ז_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ז_רינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ז_רה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ז_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ז_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ז_רינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_ז_ריתי
