טוח
פעל 	הווה	_	_ 	_	ל_טו_ח
פועל	עבר 	ראשון	זכר 	יחיד	_טוי_חתי
פועל	עבר 	ראשון	נקבה	יחיד	_טוי_חתי
פועל	עבר 	שני 	זכר 	יחיד	_טוי_חת
פועל	עבר 	שני 	נקבה	יחיד	_טוי_חת
פועל	עבר 	שלישי	זכר 	יחיד	_טוי_ח
פועל	עבר 	שלישי	נקבה	יחיד	_טוי_חה
פועל	עבר 	ראשון	זכר 	רבים	_טוי_חנו
פועל	עבר 	ראשון	נקבה	רבים	_טו_חינו
פועל	עבר 	שני 	זכר 	רבים	_טוי_חתמ
פועל	עבר 	שני 	נקבה	רבים	_טוי_חתנ
פועל	עבר 	שלישי	זכר 	רבים	_טוי_חו
פועל	עבר 	שלישי	נקבה	רבים	_טוי_חו
פועל	הווה	ראשון	זכר 	יחיד	מ_טוי_ח
פועל	הווה	ראשון	נקבה	יחיד	מ_טוי_חת
פועל	הווה	שני 	זכר 	יחיד	מ_טוי_ח
פועל	הווה	שני 	נקבה	יחיד	מ_טוי_חת
פועל	הווה	שלישי	זכר 	יחיד	מ_טוי_ח
פועל	הווה	שלישי	נקבה	יחיד	מ_טוי_חת
פועל	הווה	ראשון	זכר 	רבים	מ_טוי_חימ
פועל	הווה	ראשון	נקבה	רבים	מ_טוי_חות
פועל	הווה	שני 	זכר 	רבים	מ_טוי_חימ
פועל	הווה	שני 	נקבה	רבים	מ_טוי_חות
פועל	הווה	שלישי	זכר 	רבים	מ_טוי_חימ
פועל	הווה	שלישי	נקבה	רבים	מ_טוי_חות
פועל	עתיד	ראשון	זכר 	יחיד	א_טוי_ח
פועל	עתיד	ראשון	נקבה	יחיד	א_טוי_ח
פועל	עתיד	שני 	זכר 	יחיד	ת_טוי_ח
פועל	עתיד	שני 	נקבה	יחיד	ת_טוי_חי
פועל	עתיד	שלישי	זכר 	יחיד	י_טוי_ח
פועל	עתיד	שלישי	נקבה	יחיד	ת_טוי_ח
פועל	עתיד	ראשון	זכר 	רבים	נ_טוי_ח
פועל	עתיד	ראשון	נקבה	רבים	נ_טוי_ח
פועל	עתיד	שני 	זכר 	רבים	ת_טוי_חו
פועל	עתיד	שני 	נקבה	רבים	ת_טוי_חנה
פועל	עתיד	שלישי	זכר 	רבים	י_טוי_חו
פועל	עתיד	שלישי	נקבה	רבים	ת_טוי_חנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ט_חתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ט_חתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ט_חתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ט_חת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_טי_ח
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_טי_ח
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ט_חנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ט_חנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ט_חתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ט_חתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_טי_חו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_טי_חו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_טי_ח
הפעיל	הווה	ראשון	נקבה	יחיד	מ_טי_חה
הפעיל	הווה	שני 	זכר 	יחיד	מ_טי_ח
הפעיל	הווה	שני 	נקבה	יחיד	מ_טי_חה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_טי_ח
הפעיל	הווה	שלישי	נקבה	יחיד	מ_טי_חה
הפעיל	הווה	ראשון	זכר 	רבים	מ_טי_חימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_טי_חות
הפעיל	הווה	שני 	זכר 	רבים	מ_טי_חימ
הפעיל	הווה	שני 	נקבה	רבים	מ_טי_חות
הפעיל	הווה	שלישי	זכר 	רבים	מ_טי_חימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_טי_חות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_טי_ח
הפעיל	עתיד	ראשון	נקבה	יחיד	א_טי_ח
הפעיל	עתיד	שני 	זכר 	יחיד	ת_טי_חי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_טי_חי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_טי_ח
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_טי_ח
הפעיל	עתיד	ראשון	זכר 	רבים	נ_טי_ח
הפעיל	עתיד	ראשון	נקבה	רבים	נ_טי_ח
הפעיל	עתיד	שני 	זכר 	רבים	ת_טי_חו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ט_חנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ט_חו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ט_חנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ט_ח
הפעיל	ציווי	שני 	נקבה	יחיד	ה_טי_חי
הפעיל	ציווי	שני 	זכר 	רבים	ה_טי_חו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ט_חנה
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_ט_חתי
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_ט_חתי
הופעל 	עבר 	שני 	זכר 	יחיד	הו_ט_חת
הופעל 	עבר 	שני 	נקבה	יחיד	הו_ט_חת
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_ט_ח
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_ט_חה
הופעל 	עבר 	ראשון	זכר 	רבים	הו_ט_חנו
הופעל 	עבר 	ראשון	נקבה	רבים	הו_ט_חנו
הופעל 	עבר 	שני 	זכר 	רבים	הו_ט_חתמ
הופעל 	עבר 	שני 	נקבה	רבים	הו_ט_חתנ
הופעל 	עבר 	שלישי	זכר 	רבים	הו_ט_חו
הופעל 	עבר 	שלישי	נקבה	רבים	הו_ט_חו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ט_ח
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ט_חת
הופעל 	הווה	שני 	זכר 	יחיד	מו_ט_ח
הופעל 	הווה	שני 	נקבה	יחיד	מו_ט_חת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ט_ח
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ט_חת
הופעל 	הווה	ראשון	זכר 	רבים	מו_ט_חימ
הופעל 	הווה	ראשון	נקבה	רבים	מו_ט_חות
הופעל 	הווה	שני 	זכר 	רבים	מו_ט_חימ
הופעל 	הווה	שני 	נקבה	רבים	מו_ט_חות
הופעל 	הווה	שלישי	זכר 	רבים	מו_ט_חימ
הופעל 	הווה	שלישי	נקבה	רבים	מו_ט_חות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ט_ח
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ט_ח
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ט_ח
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ט_חי
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ט_ח
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ט_ח
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ט_ח
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ט_ח
הופעל 	עתיד	שני 	זכר 	רבים	תו_ט_חו
הופעל 	עתיד	שני 	נקבה	רבים	תו_ט_חנה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ט_חו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ט_חנה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_ט_חתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_ט_חתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_ט_חת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_ט_חת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_ט_ח
