סרר
התפעל	עבר 	ראשון	נקבה	יחיד	ה_סת_ר_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_סת_ר_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_סת_ר_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_סת_ר_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_סת_ר_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_סת_ר_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_סת_ר_רו
התפעל	עבר 	שני 	זכר 	רבים	ה_סת_ר_רתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_סת_ר_רתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_סת_ר_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_סת_ר_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_סת_ר_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_סת_ר_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_סת_ר_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_סת_ר_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_סת_ר_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_סת_ר_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_סת_ר_רימ
התפעל	הווה	ראשון	נקבה	רבים	מ_סת_ר_רות
התפעל	הווה	שני 	זכר 	רבים	מ_סת_ר_רימ
התפעל	הווה	שני 	נקבה	רבים	מ_סת_ר_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_סת_ר_רימ
התפעל	הווה	שלישי	נקבה	רבים	מ_סת_ר_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_סת_ר_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_סת_ר_ר
התפעל	עתיד	שני 	זכר 	יחיד	תת_ס_ר_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_ס_ר_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_סת_ר_ר
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ס_ר_ר
התפעל	עתיד	ראשון	זכר 	רבים	נת_ס_ר_ר
התפעל	עתיד	ראשון	נקבה	רבים	נת_ס_ר_ר
התפעל	עתיד	שני 	זכר 	רבים	תת_ס_ר_רו
התפעל	עתיד	שני 	נקבה	רבים	תת_ס_ר_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_סת_ר_רו
התפעל	עתיד	שלישי	נקבה	רבים	תת_ס_ר_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_סת_ר_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_סת_ר_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_סת_ר_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_סת_ר_רנה
