קומ
פעל 	הווה	_	_ 	_	ל_קו_מ
פועל	הווה	שלישי	זכר 	רבים	מ_קו_ו_מימ
פועל	הווה	שלישי	נקבה	רבים	מ_קו_ו_מות
פועל	עתיד	ראשון	זכר 	יחיד	א_קו_ו_מ
פועל	עתיד	ראשון	נקבה	יחיד	א_קו_ו_מ
פועל	עתיד	שני 	זכר 	יחיד	ת_קו_ו_מ
פועל	עתיד	שני 	נקבה	יחיד	ת_קו_ו_מי
פועל	עתיד	שלישי	זכר 	יחיד	י_קו_ו_מ
פועל	עתיד	שלישי	נקבה	יחיד	ת_קו_ו_מ
פועל	עתיד	ראשון	זכר 	רבים	נ_קו_ו_מ
פועל	עתיד	ראשון	נקבה	רבים	נ_קו_ו_מ
פועל	עתיד	שני 	זכר 	רבים	ת_קו_ו_מו
פועל	עתיד	שני 	נקבה	רבים	ת_קו_ו_מנה
פועל	עתיד	שלישי	זכר 	רבים	י_קו_ו_מו
פועל	עתיד	שלישי	נקבה	רבים	ת_קו_ו_מנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ק_מתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ק_מתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ק_מתי
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ק_מת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_קי_מ
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_קי_מ
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ק_מנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ק_מנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ק_מתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ק_מתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_קי_מו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_קי_מו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_קי_מ
הפעיל	הווה	ראשון	נקבה	יחיד	מ_קי_מה
הפעיל	הווה	שני 	זכר 	יחיד	מ_קי_מ
הפעיל	הווה	שני 	נקבה	יחיד	מ_קי_מה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_קי_מ
הפעיל	הווה	שלישי	נקבה	יחיד	מ_קי_מה
הפעיל	הווה	ראשון	זכר 	רבים	מ_קי_מימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_קי_מות
הפעיל	הווה	שני 	זכר 	רבים	מ_קי_מימ
הפעיל	הווה	שני 	נקבה	רבים	מ_קי_מות
הפעיל	הווה	שלישי	זכר 	רבים	מ_קי_מימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_קי_מות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_קי_מ
הפעיל	עתיד	ראשון	נקבה	יחיד	א_קי_מ
הפעיל	עתיד	שני 	זכר 	יחיד	ת_קי_מי
הפעיל	עתיד	שני 	נקבה	יחיד	ת_קי_מי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_קי_מ
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_קי_מ
הפעיל	עתיד	ראשון	זכר 	רבים	נ_קי_מ
הפעיל	עתיד	ראשון	נקבה	רבים	נ_קי_מ
הפעיל	עתיד	שני 	זכר 	רבים	ת_קי_מו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ק_מנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ק_מו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ק_מנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ק_מ
הפעיל	ציווי	שני 	נקבה	יחיד	ה_קי_מי
הפעיל	ציווי	שני 	זכר 	רבים	ה_קי_מו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ק_מנה
הופעל 	עבר 	ראשון	זכר 	יחיד	הו_ק_מתי
הופעל 	עבר 	ראשון	נקבה	יחיד	הו_ק_מתי
הופעל 	עבר 	שני 	זכר 	יחיד	הו_ק_מת
הופעל 	עבר 	שני 	נקבה	יחיד	הו_ק_מת
הופעל 	עבר 	שלישי	זכר 	יחיד	הו_ק_מ
הופעל 	עבר 	שלישי	נקבה	יחיד	הו_ק_מה
הופעל 	עבר 	ראשון	זכר 	רבים	הו_ק_מנו
הופעל 	עבר 	ראשון	נקבה	רבים	הו_ק_מנו
הופעל 	עבר 	שני 	זכר 	רבים	הו_ק_מתמ
הופעל 	עבר 	שני 	נקבה	רבים	הו_ק_מתנ
הופעל 	עבר 	שלישי	זכר 	רבים	הו_ק_מו
הופעל 	עבר 	שלישי	נקבה	רבים	הו_ק_מו
הופעל 	הווה	ראשון	זכר 	יחיד	מו_ק_מ
הופעל 	הווה	ראשון	נקבה	יחיד	מו_ק_מת
הופעל 	הווה	שני 	זכר 	יחיד	מו_ק_מ
הופעל 	הווה	שני 	נקבה	יחיד	מו_ק_מת
הופעל 	הווה	שלישי	זכר 	יחיד	מו_ק_מ
הופעל 	הווה	שלישי	נקבה	יחיד	מו_ק_מת
הופעל 	הווה	ראשון	זכר 	רבים	מו_ק_מימ
הופעל 	הווה	ראשון	נקבה	רבים	מו_ק_מות
הופעל 	הווה	שני 	זכר 	רבים	מו_ק_מימ
הופעל 	הווה	שני 	נקבה	רבים	מו_ק_מות
הופעל 	הווה	שלישי	זכר 	רבים	מו_ק_מימ
הופעל 	הווה	שלישי	נקבה	רבים	מו_ק_מות
הופעל 	עתיד	ראשון	זכר 	יחיד	או_ק_מ
הופעל 	עתיד	ראשון	נקבה	יחיד	או_ק_מ
הופעל 	עתיד	שני 	זכר 	יחיד	תו_ק_מ
הופעל 	עתיד	שני 	נקבה	יחיד	תו_ק_מי
הופעל 	עתיד	שלישי	זכר 	יחיד	יו_ק_מ
הופעל 	עתיד	שלישי	נקבה	יחיד	תו_ק_מ
הופעל 	עתיד	ראשון	זכר 	רבים	נו_ק_מ
הופעל 	עתיד	ראשון	נקבה	רבים	נו_ק_מ
הופעל 	עתיד	שני 	זכר 	רבים	תו_ק_מו
הופעל 	עתיד	שני 	נקבה	רבים	תו_ק_מנה
הופעל 	עתיד	שלישי	זכר 	רבים	יו_ק_מו
הופעל 	עתיד	שלישי	נקבה	רבים	תו_ק_מנה
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_ק_ו_מתי
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_ק_ו_מתי
התפעל 	עבר 	שני 	זכר 	יחיד	הת_ק_ו_מת
התפעל 	עבר 	שני 	נקבה	יחיד	הת_ק_ו_מת
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_ק_ו_מ
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_ק_ו_מה
התפעל 	עבר 	ראשון	זכר 	רבים	הת_ק_ו_מנו
התפעל 	עבר 	ראשון	נקבה	רבים	הת_ק_ו_מו
התפעל 	עבר 	שני 	זכר 	רבים	הת_ק_ו_מתמ
התפעל 	עבר 	שני 	נקבה	רבים	הת_ק_ו_מתנ
התפעל 	עבר 	שלישי	זכר 	רבים	הת_ק_ו_מו
התפעל 	עבר 	שלישי	נקבה	רבים	הת_ק_ו_מו
התפעל 	הווה	ראשון	זכר 	יחיד	מת_ק_ו_מ
