שוי
פעל 	הווה	_	_ 	_	ל_שוות
הפעיל	עתיד	שני 	נקבה	יחיד	ת_שוי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_שוה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_שוה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_שוה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_שוה
הפעיל	עתיד	שני 	זכר 	רבים	ת_שוו
הפעיל	עתיד	שני 	נקבה	רבים	ת_שוינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_שוו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_שוינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_שוה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_שוי
הפעיל	ציווי	שני 	זכר 	רבים	ה_שוו
הפעיל	ציווי	שני 	נקבה	רבים	ה_שוינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_שויתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_שויתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_שוית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_שוית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_שוה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_שותה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_שוינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_שוינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_שויתמ
הופעל 	עבר 	שני 	נקבה	רבים	ה_שויתנ
הופעל 	עבר 	שלישי	זכר 	רבים	ה_שוו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_שוו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_שוה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_שוה
הופעל 	הווה	שני 	זכר 	יחיד	מ_שוה
הופעל 	הווה	שני 	נקבה	יחיד	מ_שוה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_שוה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_שוה
הופעל 	הווה	ראשון	זכר 	רבים	מ_שוימ
הופעל 	הווה	ראשון	נקבה	רבים	מ_שוות
הופעל 	הווה	שני 	זכר 	רבים	מ_שוימ
הופעל 	הווה	שני 	נקבה	רבים	מ_שוות
הופעל 	הווה	שלישי	זכר 	רבים	מ_שוימ
הופעל 	הווה	שלישי	נקבה	רבים	מ_שוות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_שוה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_שוה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_שוה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_שוי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_שוה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_שוה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_שוה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_שוה
הופעל 	עתיד	שני 	זכר 	רבים	ת_שוו
הופעל 	עתיד	שני 	נקבה	רבים	ת_שוינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_שוו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_שוינה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_שתויתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_שתויתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_שתוית
התפעל 	עבר 	שני 	נקבה	יחיד	ה_שתוית
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_שתוה
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_שתותה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_שתוינו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_שתוינו
התפעל 	עבר 	שני 	זכר 	רבים	ה_שתויתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_שתויתנ
