לוי
פעל 	הווה	_	_ 	_	ל_לוות
התפעל 	עבר 	שני 	נקבה	רבים	הת_לויתנ
התפעל 	עבר 	שלישי	זכר 	רבים	הת_לוו
התפעל 	עבר 	שלישי	נקבה	רבים	הת_לוו
התפעל 	הווה	ראשון	זכר 	יחיד	מת_לוה
התפעל 	הווה	ראשון	נקבה	יחיד	מת_לוה
התפעל 	הווה	שני 	זכר 	יחיד	מת_לוה
התפעל 	הווה	שני 	נקבה	יחיד	מת_לוה
התפעל 	הווה	שלישי	זכר 	יחיד	מת_לוה
התפעל 	הווה	שלישי	נקבה	יחיד	מת_לוה
התפעל 	הווה	ראשון	זכר 	רבים	מת_לוימ
התפעל 	הווה	ראשון	נקבה	רבים	מת_לוות
התפעל 	הווה	שני 	זכר 	רבים	מת_לוימ
התפעל 	הווה	שני 	נקבה	רבים	מת_לוות
התפעל 	הווה	שלישי	זכר 	רבים	מת_לוימ
התפעל 	הווה	שלישי	נקבה	רבים	מת_לוות
התפעל 	עתיד	ראשון	זכר 	יחיד	את_לוה
התפעל 	עתיד	ראשון	נקבה	יחיד	את_לוה
התפעל 	עתיד	שני 	זכר 	יחיד	תת_לוה
התפעל 	עתיד	שני 	נקבה	יחיד	תת_לוי
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_לוה
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_לוה
התפעל 	עתיד	ראשון	זכר 	רבים	נת_לוה
התפעל 	עתיד	ראשון	נקבה	רבים	נת_לוה
התפעל 	עתיד	שני 	זכר 	רבים	תת_לוו
התפעל 	עתיד	שני 	נקבה	רבים	תת_לוינה
התפעל 	עתיד	שלישי	זכר 	רבים	ית_לוו
התפעל 	עתיד	שלישי	נקבה	רבים	תת_לוינה
התפעל 	ציווי	שני 	זכר 	יחיד	הת_לוה
התפעל 	ציווי	שני 	נקבה	יחיד	הת_לוי
התפעל 	ציווי	שני 	זכר 	רבים	הת_לוו
התפעל 	ציווי	שני 	נקבה	רבים	הת_לוינה
