שטי
פעל 	הווה	_	_ 	_	ל_ש_טות
פועל	עתיד	שני 	נקבה	יחיד	ת_שו_שי
פועל	עתיד	שלישי	זכר 	יחיד	י_שו_שה
פועל	עתיד	שלישי	נקבה	יחיד	ת_שו_שה
פועל	עתיד	ראשון	זכר 	רבים	נ_שו_שה
פועל	עתיד	ראשון	נקבה	רבים	נ_שו_שה
פועל	עתיד	שני 	זכר 	רבים	ת_שו_שו
פועל	עתיד	שני 	נקבה	רבים	ת_שו_שינה
פועל	עתיד	שלישי	זכר 	רבים	י_שו_שו
פועל	עתיד	שלישי	נקבה	רבים	ת_שו_שינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ש_שיתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ש_שיתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ש_שית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ש_שית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ש_שה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ש_שתה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ש_שינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ש_שינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ש_שיתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ש_שיתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ש_שו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ש_שו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ש_שה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ש_שה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ש_שה
הפעיל	הווה	שני 	נקבה	יחיד	מ_ש_שה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ש_שה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ש_שה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ש_שימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ש_שות
הפעיל	הווה	שני 	זכר 	רבים	מ_ש_שימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ש_שות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ש_שימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ש_שות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ש_שה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ש_שה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ש_שה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ש_שי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ש_שה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ש_שה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ש_שה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ש_שה
הפעיל	עתיד	שני 	זכר 	רבים	ת_ש_שו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ש_שינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ש_שו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ש_שינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ש_שה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ש_שי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ש_שו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ש_שינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_ש_שיתי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_ש_שיתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_ש_שית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_ש_שית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_ש_שה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_ש_שתה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_ש_שינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_ש_שינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_ש_שיתמ
הופעל 	עבר 	שני 	נקבה	רבים	ה_ש_שיתנ
הופעל 	עבר 	שלישי	זכר 	רבים	ה_ש_שו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_ש_שו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_ש_שה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_ש_שה
הופעל 	הווה	שני 	זכר 	יחיד	מ_ש_שה
