צוד
פעל 	הווה	_	_ 	_	ל_צו_ד
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_צט_ו_דתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_צט_ו_דתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_צט_ו_דת
התפעל 	עבר 	שני 	נקבה	יחיד	ה_צט_ו_דת
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_צט_ו_ד
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_צט_ו_דה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_צט_ו_דנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_צט_ו_דו
התפעל 	עבר 	שני 	זכר 	רבים	ה_צט_ו_דתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_צט_ו_דתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_צט_ו_דו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_צט_ו_דו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_צט_ו_ד
התפעל 	הווה	ראשון	נקבה	יחיד	מ_צט_ו_דת
התפעל 	הווה	שני 	זכר 	יחיד	מ_צט_ו_ד
התפעל 	הווה	שני 	נקבה	יחיד	מ_צט_ו_דת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_צט_ו_ד
התפעל 	הווה	שלישי	נקבה	יחיד	מ_צט_ו_דת
התפעל 	הווה	ראשון	זכר 	רבים	מ_צט_ו_דימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_צט_ו_דות
התפעל 	הווה	שני 	זכר 	רבים	מ_צט_ו_דימ
התפעל 	הווה	שני 	נקבה	רבים	מ_צט_ו_דות
התפעל 	הווה	שלישי	זכר 	רבים	מ_צט_ו_דימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_צט_ו_דות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_צט_ו_ד
התפעל 	עתיד	ראשון	נקבה	יחיד	א_צט_ו_ד
התפעל 	עתיד	שני 	זכר 	יחיד	ת_צט_ו_ד
התפעל 	עתיד	שני 	נקבה	יחיד	ת_צט_ו_די
התפעל 	עתיד	שלישי	זכר 	יחיד	י_צט_ו_ד
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_צט_ו_ד
התפעל 	עתיד	ראשון	זכר 	רבים	נ_צט_ו_ד
התפעל 	עתיד	ראשון	נקבה	רבים	נ_צט_ו_ד
התפעל 	עתיד	שני 	זכר 	רבים	_צט_ו_דו
התפעל 	עתיד	שני 	נקבה	רבים	ת_צט_ו_דנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_צט_ו_דו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_צט_ו_דנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_צט_ו_ד
התפעל 	ציווי	שני 	נקבה	יחיד	ה_צט_ו_די
התפעל 	ציווי	שני 	זכר 	רבים	ה_צט_ו_דו
התפעל 	ציווי	שני 	נקבה	רבים	ה_צט_ו_דנה
פיעל	עבר 	ראשון	זכר 	יחיד	_צו_ד_דתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צו_ד_דתי
פיעל	עבר 	שני 	זכר 	יחיד	_צו_ד_דת
פיעל	עבר 	שני 	נקבה	יחיד	_צו_ד_דת
פיעל	עבר 	שלישי	זכר 	יחיד	_צו_ד_ד
פיעל	עבר 	שלישי	נקבה	יחיד	_צו_ד_ד
פיעל	עבר 	ראשון	זכר 	רבים	_צו_ד_דנו
פיעל	עבר 	ראשון	נקבה	רבים	_צו_ד_דנו
פיעל	עבר 	שני 	זכר 	רבים	_צו_ד_דתמ
פיעל	עבר 	שני 	נקבה	רבים	_צו_ד_דתנ
פיעל	עבר 	שלישי	זכר 	רבים	_צו_ד_דו
פיעל	עבר 	שלישי	נקבה	רבים	_צו_ד_דו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צו_ד_ד
פיעל	הווה	ראשון	נקבה	יחיד	מ_צו_ד_דת
פיעל	הווה	שני 	זכר 	יחיד	מ_צו_ד_ד
פיעל	הווה	שני 	נקבה	יחיד	מ_צו_ד_דת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צו_ד_ד
פיעל	הווה	שלישי	נקבה	יחיד	מ_צו_ד_דת
פיעל	הווה	ראשון	זכר 	רבים	מ_צו_ד_דימ
פיעל	הווה	ראשון	נקבה	רבים	מ_צו_ד_דות
פיעל	הווה	שני 	זכר 	רבים	מ_צו_ד_דימ
פיעל	הווה	שני 	נקבה	רבים	מ_צו_ד_דות
פיעל	הווה	שלישי	זכר 	רבים	מ_צו_ד_דימ
פיעל	הווה	שלישי	נקבה	רבים	מ_צו_ד_דות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צו_ד_ד
פיעל	עתיד	ראשון	נקבה	יחיד	א_צו_ד_ד
פיעל	עתיד	שני 	זכר 	יחיד	ת_צו_ד_ד
פיעל	עתיד	שני 	נקבה	יחיד	ת_צו_ד_די
פיעל	עתיד	שלישי	זכר 	יחיד	י_צו_ד_ד
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צו_ד_ד
פיעל	עתיד	ראשון	זכר 	רבים	נ_צו_ד_ד
פיעל	עתיד	ראשון	נקבה	רבים	נ_צו_ד_ד
פיעל	עתיד	שני 	זכר 	רבים	ת_צו_ד_דו
פיעל	עתיד	שני 	נקבה	רבים	ת_צו_ד_דו
